STATUS,DATA,IDADE,GALPAO,LOTE,PROPRIETARIO,PRODUTIVIDADE REAL,PRODUTIVIDADE PADRAO,CONSUMO REAL,CONSUMO PADRAO,VIABILIDADE REAL,VIABILIDADE PADRAO,PESO REAL,PESO PADRAO
ATIVO,06/04/2025,20,03,BA112024,BA (Bruno/Alex),45.69%,43.05%,0.000,0.000,98.63%,99.75%,0.000,0.000
ATIVO,06/04/2025,46,04,CA052024,Carlos,97.35%,94.90%,0.000,0.000,93.39%,97.60%,0.000,0.000
ATIVO,06/04/2025,64,05,CA012024,Carlos,94.43%,90.00%,0.000,0.000,79.94%,96.10%,0.000,0.000
ATIVO,06/04/2025,91,01,AL072023,Alex,85.46%,80.30%,0.000,0.000,80.93%,92.90%,0.000,0.000
ATIVO,06/04/2025,105,02,BR042023,Bruno,80.22%,76.70%,0.000,0.000,82.03%,93.00%,0.000,0.000
ATIVO,05/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,100.00%,99.40%,0.000,0.000
ATIVO,05/04/2025,20,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.111,0.095,98.65%,99.75%,0.000,0.000
ATIVO,05/04/2025,46,04,CA052024,Carlos,88.12%,94.90%,0.134,0.110,93.45%,97.60%,0.000,0.000
ATIVO,05/04/2025,64,05,CA012024,Carlos,75.99%,90.00%,0.176,0.110,80.04%,96.10%,0.000,0.000
ATIVO,05/04/2025,91,01,AL072023,Alex,79.88%,80.30%,0.182,0.115,81.00%,92.90%,0.000,0.000
ATIVO,05/04/2025,105,02,BR042023,Bruno,78.72%,76.70%,0.179,0.110,82.11%,93.00%,0.000,0.000
ATIVO,04/04/2025,1,PINTEIRO,BR042025,Bruno,0.00%,0.00%,0.000,0.000,100.00%,99.40%,0.000,0.000
ATIVO,04/04/2025,20,03,BA112024,BA (Bruno/Alex),24.47%,43.05%,0.087,0.095,98.65%,99.75%,0.000,0.000
ATIVO,04/04/2025,46,04,CA052024,Carlos,91.44%,94.90%,0.117,0.110,93.45%,97.60%,0.000,0.000
ATIVO,04/04/2025,64,05,CA012024,Carlos,88.54%,90.00%,0.118,0.110,80.04%,96.10%,0.000,0.000
ATIVO,04/04/2025,91,01,AL072023,Alex,83.12%,80.30%,0.121,0.115,81.00%,92.90%,0.000,0.000
ATIVO,04/04/2025,105,02,BR042023,Bruno,81.91%,76.70%,0.107,0.110,82.11%,93.00%,0.000,0.000
ATIVO,03/04/2025,20,03,BA112024,BA (Bruno/Alex),21.48%,43.05%,0.072,0.095,98.67%,99.75%,0.000,0.000
ATIVO,03/04/2025,46,04,CA052024,Carlos,93.46%,94.90%,0.101,0.110,93.49%,97.60%,1.650,1.661
ATIVO,03/04/2025,63,05,CA012024,Carlos,89.34%,90.30%,0.098,0.110,80.04%,96.10%,0.000,0.000
ATIVO,03/04/2025,91,01,AL072023,Alex,83.79%,80.30%,0.097,0.115,81.03%,92.90%,0.000,0.000
ATIVO,03/04/2025,104,02,BR042023,Bruno,80.18%,76.70%,0.084,0.110,82.11%,93.00%,0.000,0.000
ATIVO,02/04/2025,20,03,BA112024,BA (Bruno/Alex),18.47%,43.05%,0.072,0.095,98.71%,99.75%,0.000,0.000
ATIVO,02/04/2025,46,04,CA052024,Carlos,94.00%,94.90%,0.126,0.110,93.49%,97.60%,0.000,0.000
ATIVO,02/04/2025,63,05,CA012024,Carlos,87.09%,90.30%,0.098,0.110,80.06%,96.10%,0.000,0.000
ATIVO,02/04/2025,91,01,AL072023,Alex,83.94%,80.30%,0.109,0.115,81.05%,92.90%,0.000,0.000
ATIVO,02/04/2025,104,02,BR042023,Bruno,80.60%,76.70%,0.084,0.110,82.11%,93.00%,0.000,0.000
ATIVO,01/04/2025,20,03,BA112024,BA (Bruno/Alex),17.30%,43.05%,0.095,0.095,98.75%,99.75%,0.000,0.000
ATIVO,01/04/2025,46,04,CA052024,Carlos,93.96%,94.90%,0.126,0.110,93.49%,97.60%,0.000,0.000
ATIVO,01/04/2025,63,05,CA012024,Carlos,89.27%,90.30%,0.137,0.110,80.06%,96.10%,0.000,0.000
ATIVO,01/04/2025,91,01,AL072023,Alex,85.64%,80.30%,0.121,0.115,81.05%,92.90%,0.000,0.000
ATIVO,01/04/2025,104,02,BR042023,Bruno,81.31%,76.70%,0.131,0.110,82.11%,93.00%,0.000,0.000
ATIVO,31/03/2025,19,03,BA112024,BA (Bruno/Alex),19.07%,10.90%,0.103,0.090,98.80%,99.80%,1.482,1.430
ATIVO,31/03/2025,45,04,CA052024,Carlos,97.21%,95.10%,0.151,0.110,93.51%,97.60%,0.000,0.000
ATIVO,31/03/2025,63,05,CA012024,Carlos,93.44%,90.30%,0.127,0.110,80.06%,96.10%,0.000,0.000
ATIVO,31/03/2025,91,01,AL072023,Alex,89.81%,80.30%,0.121,0.115,81.05%,92.90%,0.000,0.000
ATIVO,31/03/2025,104,02,BR042023,Bruno,84.57%,76.70%,0.143,0.110,82.13%,93.00%,0.000,0.000
ATIVO,30/03/2025,19,03,BA112024,BA (Bruno/Alex),19.07%,10.90%,0.000,0.000,98.80%,99.80%,0.000,0.000
ATIVO,30/03/2025,45,04,CA052024,Carlos,97.19%,95.10%,0.000,0.000,93.51%,97.60%,0.000,0.000
ATIVO,30/03/2025,63,05,CA012024,Carlos,93.39%,90.30%,0.000,0.000,80.06%,96.10%,0.000,0.000
ATIVO,30/03/2025,90,01,AL072023,Alex,89.75%,80.60%,0.000,0.000,81.05%,93.00%,0.000,0.000
ATIVO,30/03/2025,104,02,BR042023,Bruno,84.57%,76.70%,0.000,0.000,82.13%,93.00%,0.000,0.000
ATIVO,29/03/2025,19,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.095,0.090,98.88%,99.80%,0.000,0.000
ATIVO,29/03/2025,45,04,CA052024,Carlos,85.03%,95.10%,0.143,0.110,93.55%,97.60%,0.000,0.000
ATIVO,29/03/2025,63,05,CA012024,Carlos,84.04%,90.30%,0.147,0.110,80.10%,96.10%,0.000,0.000
ATIVO,29/03/2025,90,01,AL072023,Alex,76.43%,80.60%,0.193,0.115,81.10%,93.00%,0.000,0.000
ATIVO,29/03/2025,104,02,BR042023,Bruno,72.06%,76.70%,0.167,0.110,82.21%,93.00%,0.000,0.000
ATIVO,28/03/2025,19,03,BA112024,BA (Bruno/Alex),9.54%,10.90%,0.079,0.090,98.88%,99.80%,0.000,0.000
ATIVO,28/03/2025,45,04,CA052024,Carlos,93.27%,95.10%,0.117,0.110,93.55%,97.60%,0.000,0.000
ATIVO,28/03/2025,63,05,CA012024,Carlos,89.85%,90.30%,0.088,0.110,80.20%,96.10%,0.000,0.000
ATIVO,28/03/2025,90,01,AL072023,Alex,82.90%,80.60%,0.109,0.115,81.10%,93.00%,0.000,0.000
ATIVO,28/03/2025,104,02,BR042023,Bruno,78.21%,76.70%,0.095,0.110,82.21%,93.00%,0.000,0.000
ATIVO,27/03/2025,19,03,BA112024,BA (Bruno/Alex),7.20%,10.90%,0.048,0.090,98.88%,99.80%,0.000,0.000
ATIVO,27/03/2025,45,04,CA052024,Carlos,93.33%,95.10%,0.117,0.110,93.55%,97.60%,0.000,0.000
ATIVO,27/03/2025,62,05,CA012024,Carlos,88.98%,90.60%,0.108,0.110,80.22%,96.20%,0.000,0.000
ATIVO,27/03/2025,90,01,AL072023,Alex,82.73%,80.60%,0.109,0.115,81.18%,93.00%,0.000,0.000
ATIVO,27/03/2025,103,02,BR042023,Bruno,80.54%,76.70%,0.095,0.110,82.25%,93.00%,0.000,0.000
ATIVO,26/03/2025,19,03,BA112024,BA (Bruno/Alex),6.54%,10.90%,0.079,0.090,99.00%,99.80%,0.000,0.000
ATIVO,26/03/2025,45,04,CA052024,Carlos,93.31%,95.10%,0.117,0.110,93.55%,97.60%,0.000,0.000
ATIVO,26/03/2025,62,05,CA012024,Carlos,90.47%,90.60%,0.088,0.110,80.22%,96.20%,0.000,0.000
ATIVO,26/03/2025,90,01,AL072023,Alex,84.84%,80.60%,0.109,0.115,81.18%,93.00%,0.000,0.000
ATIVO,26/03/2025,103,02,BR042023,Bruno,80.15%,76.70%,0.131,0.110,82.25%,93.00%,0.000,0.000
ATIVO,25/03/2025,19,03,BA112024,BA (Bruno/Alex),4.75%,10.90%,0.079,0.090,99.02%,99.80%,0.000,0.000
ATIVO,25/03/2025,45,04,CA052024,Carlos,93.92%,95.10%,0.126,0.110,93.57%,97.60%,0.000,0.000
ATIVO,25/03/2025,62,05,CA012024,Carlos,89.84%,90.60%,0.127,0.110,80.25%,96.20%,0.000,0.000
ATIVO,25/03/2025,90,01,AL072023,Alex,82.95%,80.60%,0.121,0.115,81.20%,93.00%,0.000,0.000
ATIVO,25/03/2025,103,02,BR042023,Bruno,81.69%,76.70%,0.107,0.110,82.30%,93.00%,0.000,0.000
ATIVO,24/03/2025,18,03,BA112024,BA (Bruno/Alex),5.34%,2.50%,0.079,0.084,99.06%,99.90%,1.413,1.368
ATIVO,24/03/2025,44,04,CA052024,Carlos,100.65%,95.30%,0.151,0.110,93.59%,97.70%,0.000,0.000
ATIVO,24/03/2025,62,05,CA012024,Carlos,95.21%,90.60%,0.147,0.110,80.27%,96.20%,1.646,1.677
ATIVO,24/03/2025,90,01,AL072023,Alex,87.02%,80.60%,0.145,0.115,81.20%,93.00%,0.000,0.000
ATIVO,24/03/2025,103,02,BR042023,Bruno,85.05%,76.70%,0.107,0.110,82.30%,93.00%,0.000,0.000
ATIVO,23/03/2025,18,03,BA112024,BA (Bruno/Alex),5.34%,2.50%,0.000,0.000,99.06%,99.90%,0.000,0.000
ATIVO,23/03/2025,44,04,CA052024,Carlos,100.61%,95.30%,0.000,0.000,93.59%,97.70%,0.000,0.000
ATIVO,23/03/2025,62,05,CA012024,Carlos,95.19%,90.60%,0.000,0.000,80.27%,96.20%,0.000,0.000
ATIVO,23/03/2025,89,01,AL072023,Alex,86.99%,80.90%,0.000,0.000,81.20%,93.10%,0.000,0.000
ATIVO,23/03/2025,103,02,BR042023,Bruno,84.99%,76.70%,0.000,0.000,82.30%,93.00%,0.000,0.000
ATIVO,22/03/2025,18,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.127,0.084,99.18%,99.90%,0.000,0.000
ATIVO,22/03/2025,44,04,CA052024,Carlos,78.52%,95.30%,0.193,0.110,93.65%,97.70%,0.000,0.000
ATIVO,22/03/2025,62,05,CA012024,Carlos,81.33%,90.60%,0.176,0.110,80.33%,96.20%,0.000,0.000
ATIVO,22/03/2025,89,01,AL072023,Alex,78.13%,80.90%,0.157,0.115,81.25%,93.10%,0.000,0.000
ATIVO,22/03/2025,103,02,BR042023,Bruno,75.06%,76.70%,0.178,0.110,82.45%,93.00%,0.000,0.000
ATIVO,21/03/2025,18,03,BA112024,BA (Bruno/Alex),2.00%,2.50%,0.095,0.084,99.18%,99.90%,0.000,0.000
ATIVO,21/03/2025,44,04,CA052024,Carlos,93.13%,95.30%,0.109,0.110,93.65%,97.70%,1.651,1.658
ATIVO,21/03/2025,62,05,CA012024,Carlos,88.97%,90.60%,0.107,0.110,80.33%,96.20%,0.000,0.000
ATIVO,21/03/2025,89,01,AL072023,Alex,84.52%,80.90%,0.121,0.115,81.25%,93.10%,0.000,0.000
ATIVO,21/03/2025,103,02,BR042023,Bruno,81.24%,76.70%,0.131,0.110,82.45%,93.00%,0.000,0.000
ATIVO,20/03/2025,18,03,BA112024,BA (Bruno/Alex),1.44%,2.50%,0.063,0.167,99.22%,199.80%,0.000,0.000
ATIVO,20/03/2025,44,04,CA052024,Carlos,92.69%,95.30%,0.109,0.110,93.63%,97.70%,0.000,0.000
ATIVO,20/03/2025,61,05,CA012024,Carlos,88.43%,91.00%,0.117,0.110,80.33%,96.30%,0.000,0.000
ATIVO,20/03/2025,89,01,AL072023,Alex,81.79%,80.90%,0.109,0.115,81.30%,93.10%,0.000,0.000
ATIVO,20/03/2025,102,02,BR042023,Bruno,82.50%,76.70%,0.095,0.110,82.50%,93.00%,0.000,0.000
ATIVO,19/03/2025,18,03,BA112024,BA (Bruno/Alex),1.03%,2.50%,0.079,0.084,99.24%,99.90%,0.000,0.000
ATIVO,19/03/2025,44,04,CA052024,Carlos,93.28%,95.30%,0.117,0.110,93.65%,97.70%,0.000,0.000
ATIVO,19/03/2025,61,05,CA012024,Carlos,89.63%,91.00%,0.127,0.110,80.35%,96.30%,0.000,0.000
ATIVO,19/03/2025,89,01,AL072023,Alex,86.20%,80.90%,0.108,0.115,81.32%,93.10%,0.000,0.000
ATIVO,19/03/2025,102,02,BR042023,Bruno,82.23%,76.70%,0.131,0.110,82.48%,93.00%,0.000,0.000
ATIVO,18/03/2025,18,03,BA112024,BA (Bruno/Alex),0.77%,2.50%,0.079,0.084,99.35%,99.90%,0.000,0.000
ATIVO,18/03/2025,44,04,CA052024,Carlos,93.14%,95.30%,0.126,0.110,93.69%,97.70%,0.000,0.000
ATIVO,18/03/2025,61,05,CA012024,Carlos,88.95%,91.00%,0.137,0.110,80.39%,96.30%,0.000,0.000
ATIVO,18/03/2025,89,01,AL072023,Alex,83.63%,80.90%,0.121,0.115,81.32%,93.10%,0.000,0.000
ATIVO,18/03/2025,102,02,BR042023,Bruno,81.20%,76.70%,0.083,0.110,82.52%,93.00%,0.000,0.000
ATIVO,17/03/2025,17,03,BA112024,BA (Bruno/Alex),0.87%,0.00%,0.103,0.073,99.37%,99.90%,1.370,1.320
ATIVO,17/03/2025,43,04,CA052024,Carlos,95.42%,95.40%,0.151,0.110,93.69%,97.80%,0.000,0.000
ATIVO,17/03/2025,61,05,CA012024,Carlos,92.71%,91.00%,0.117,0.110,80.41%,96.30%,0.000,0.000
ATIVO,17/03/2025,89,01,AL072023,Alex,88.86%,80.90%,0.121,0.115,80.76%,93.10%,0.000,0.000
ATIVO,17/03/2025,102,02,BR042023,Bruno,85.27%,76.70%,0.143,0.110,82.52%,93.00%,0.000,0.000
ATIVO,16/03/2025,17,03,BA112024,BA (Bruno/Alex),0.85%,0.00%,0.000,0.000,99.37%,99.90%,0.000,0.000
ATIVO,16/03/2025,43,04,CA052024,Carlos,95.40%,95.40%,0.000,0.000,93.69%,97.80%,0.000,0.000
ATIVO,16/03/2025,61,05,CA012024,Carlos,92.71%,91.00%,0.000,0.000,80.41%,96.30%,0.000,0.000
ATIVO,16/03/2025,88,01,AL072023,Alex,88.80%,81.20%,0.000,0.000,80.76%,93.20%,0.000,0.000
ATIVO,16/03/2025,102,02,BR042023,Bruno,85.24%,76.70%,0.000,0.000,82.52%,93.00%,0.000,0.000
ATIVO,15/03/2025,17,03,BA112024,BA (Bruno/Alex),0.00%,0.00%,0.103,0.073,99.43%,99.90%,0.000,0.000
ATIVO,15/03/2025,43,04,CA052024,Carlos,86.17%,95.40%,0.184,0.110,93.71%,97.80%,0.000,0.000
ATIVO,15/03/2025,61,05,CA012024,Carlos,85.79%,91.00%,0.146,0.110,80.45%,96.30%,0.000,0.000
ATIVO,15/03/2025,88,01,AL072023,Alex,74.87%,81.20%,0.170,0.115,80.86%,93.20%,0.000,0.000
ATIVO,15/03/2025,102,02,BR042023,Bruno,73.76%,76.70%,0.178,0.110,82.57%,93.00%,0.000,0.000
ATIVO,14/03/2025,17,03,BA112024,BA (Bruno/Alex),0.22%,0.00%,0.071,0.073,99.43%,99.90%,0.000,0.000
ATIVO,14/03/2025,43,04,CA052024,Carlos,92.43%,95.40%,0.109,0.110,93.71%,97.80%,0.000,0.000
ATIVO,14/03/2025,61,05,CA012024,Carlos,89.59%,91.00%,0.127,0.110,80.45%,96.30%,0.000,0.000
ATIVO,14/03/2025,88,01,AL072023,Alex,84.15%,81.20%,0.109,0.115,80.86%,93.20%,0.000,0.000
